Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,airport_fee
72,2,2023-06-30 23:58:51,2023-07-01 00:08:52,1.0,3.84,1.0,N,138,7,1,17.7,6.0,0.5,2.0,0.0,1.0,28.95,0.0,1.75,
73,1,2023-06-30 23:58:49,2023-07-01 00:09:14,1.0,1.8,1.0,N,144,87,1,12.1,3.5,0.5,1.0,0.0,1.0,18.1,2.5,0.0,
74,2,2023-06-30 23:58:49,2023-07-01 00:09:36,1.0,1.6,1.0,N,158,144,1,11.4,1.0,0.5,3.28,0.0,1.0,19.68,2.5,0.0,
75,2,2023-06-30 23:58:48,2023-07-01 00:11:17,1.0,2.75,1.0,N,239,75,1,15.6,1.0,0.5,4.12,0.0,1.0,24.72,2.5,0.0,
76,2,2023-06-30 23:58:46,2023-07-01 00:41:31,2.0,20.5,2.0,N,132,239,1,70.0,0.0,0.5,10.0,6.55,1.0,92.3,2.5,1.75,
77,2,2023-06-30 23:58:44,2023-07-01 00:19:18,1.0,7.25,1.0,N,138,41,1,33.1,6.0,0.5,9.43,6.55,1.0,58.33,0.0,1.75,
78,1,2023-06-30 23:58:44,2023-07-01 00:27:39,1.0,14.9,1.0,N,230,259,2,57.6,3.5,0.5,0.0,0.0,1.0,62.6,2.5,0.0,
79,2,2023-06-30 23:58:43,2023-07-01 00:13:00,1.0,1.66,1.0,N,68,142,2,14.2,1.0,0.5,0.0,0.0,1.0,19.2,2.5,0.0,
80,2,2023-06-30 23:58:43,2023-07-01 00:07:03,2.0,1.6,1.0,N,170,229,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0,
81,2,2023-06-30 23:58:43,2023-07-01 00:16:13,2.0,9.84,4.0,N,132,265,2,49.9,1.0,0.5,0.0,0.0,1.0,56.65,2.5,1.75,
82,2,2023-06-30 23:58:43,2023-07-01 00:01:25,2.0,0.68,1.0,N,229,233,2,5.8,1.0,0.5,0.0,0.0,1.0,10.8,2.5,0.0,
